Gene	apo_rank	ABrank	ALrank
ALAD	338	NA	NA
TACC2	339	NA	275
HIG2	340	NA	NA
ACVR1	341	NA	NA
PIK3C2G	342	NA	NA
GGPS1	343	NA	NA
WDR10	344	NA	NA
ATP8A2	345	NA	NA
ACAD8	346	280	161
RRM2	347	NA	NA
IDI1	348	154	NA
CSTA	349	NA	NA
SLC9A1	350	NA	NA
KIAA1068	351	NA	NA
PDCD8	352	NA	NA
ALDH6A1	353	NA	NA
NUDT9	354	NA	NA
LOC51760	355	NA	NA
FLJ13236	356	NA	NA
PKNOX2	357	NA	NA
PXN	358	NA	NA
VEGFC	359	NA	NA
DDC	360	NA	63
ZFYVE21	361	NA	NA
SRD5A2L	362	NA	NA
SCP2	363	NA	NA
CRK7	364	NA	NA
LTF	365	NA	NA
GNA14	366	NA	NA
PRLR	367	163	NA
KIAA0182	368	131	NA
BCL2L13	369	NA	NA
NET-5	370	NA	NA
BFSP1	371	NA	NA
FLJ10116	372	NA	NA
TOM1L1	373	NA	NA
KIBRA	374	NA	NA
GTF2E1	375	NA	NA
MIR16	376	NA	NA
PPA2	377	NA	NA
MYCBP2	378	NA	NA
SH3BGRL	379	NA	NA
ARHGAP8	380	NA	NA
C4A	381	NA	NA
RAB17	382	NA	NA
SEPHS2	383	220	199
OGN	384	NA	NA
HNRPAB	385	NA	NA
FLJ11036	386	NA	NA
FLJ10579	387	NA	NA
ANAPC13	388	NA	NA
FMO5	389	140	NA
MRPL22	390	NA	NA
VAV3	391	NA	NA
ELOVL5	392	248	NA
ETFDH	393	NA	NA
ANKMY2	394	NA	NA
MGST2	395	NA	NA
KIAA1194	396	NA	NA
NIT2	397	NA	NA
PGEA1	398	NA	NA
FLJ10496	399	147	NA
PPT1	400	NA	NA
DOLPP1	401	NA	NA
NMNAT2	402	NA	NA
SPINK5	403	NA	NA
PPM2C	404	NA	NA
ANXA4	405	NA	NA
BLCAP	406	NA	NA
CPE	407	NA	NA
CDS1	408	NA	NA
CAPN9	409	NA	NA
DESC1	410	NA	NA
DNAJC10	411	NA	NA
MGC11242	412	394	NA
FLJ11273	413	NA	NA
THRAP4	414	NA	NA
NDUFA6	415	NA	NA
"NAGK"	416	NA	NA
S100A11	417	NA	NA
NQO3A2	418	NA	NA
OBFC1	419	NA	NA
ZMPSTE24	420	NA	NA
EIF2AK3	421	NA	NA
FLJ10379	422	NA	NA
MEIS1	423	NA	NA
FLJ23033	424	NA	NA
PRKCBP1	425	337	NA
KCNMA1	426	244	269
EAP30	427	NA	NA
MST1R	428	NA	NA
DST	429	NA	NA
PRO1855	430	NA	NA
ABHD3	431	NA	NA
HIBCH	432	NA	NA
PDE4B	433	NA	NA
MAN2B2	434	NA	NA
LIN7A	435	NA	NA
SLC14A1	436	NA	NA
CGI-51	437	NA	NA
ARCN1	438	NA	NA
SOX11	439	NA	NA
ENPP1	440	NA	NA
TOB1	441	NA	NA
USP3	442	NA	NA
UFD1L	443	NA	NA
PANX1	444	NA	NA
LRBA	445	232	NA
LGALS4	446	NA	NA
BTAF1	447	NA	NA
CAP1	448	NA	NA
ZFYVE16	449	NA	NA
PRSS8	450	NA	NA
ARMCX5	451	NA	NA
KRT2A	452	NA	NA
KCNK4	453	NA	NA
POLR3B	454	NA	NA
DMBT1	455	NA	NA
RAC1	456	NA	NA
SLC25A5	457	NA	NA
GALNT3	458	NA	295
MCP	459	NA	NA
COL4A3BP	460	NA	NA
RNF110	461	NA	NA
TBC1D8	462	NA	NA
SLC26A3	463	158	NA
COQ4	464	NA	NA
IDE	465	NA	NA
MTHFD2	466	NA	NA
CYBRD1	467	NA	NA
ACOX1	468	NA	NA
OPN3	469	NA	389
TM4SF13	470	379	NA
RAP2C	471	NA	NA
MPP3	472	NA	NA
TMPRSS2	473	157	109
INPP4B	474	211	NA
TMSB4Y	475	NA	NA
BCAP29	476	253	NA
DKFZP564G2022	477	208	327
HOP	478	NA	NA
F3	479	NA	NA
CPA3	480	NA	114
DLG3	481	NA	NA
TMEM23	482	NA	182
CDX2	483	NA	NA
EPB41L4B	484	NA	NA
PIP5K2C	485	NA	NA
MAN1C1	486	NA	NA
WNT16	487	NA	NA
GMFB	488	NA	NA
ZWINT	489	NA	NA
CALM1	490	NA	NA
SMBP	491	NA	NA
ADRB2	492	NA	NA
INHBB	493	NA	NA
MUC1	494	NA	NA
CD164	495	NA	NA
FTH1	496	NA	NA
HPGD	497	NA	NA
MAPK6	498	NA	NA
DKFZP564F0522	499	NA	NA
MCCC2	500	NA	NA
NPDC1	501	NA	NA
OVGP1	502	NA	NA
LRRFIP1	503	NA	NA
SLC38A1	504	195	NA
FLJ11151	505	NA	NA
LAD1	506	NA	NA
MLH1	507	NA	NA
TMEM15	508	NA	NA
FLRT3	509	NA	NA
MAP17	510	NA	17
SSP411	511	NA	NA
SCGN	512	NA	NA
RCHY1	513	NA	NA
KLF9	514	NA	NA
DNASE1	515	NA	NA
HRIHFB2122	516	NA	NA
BCAS1	517	NA	NA
FLJ20477	518	NA	NA
DKFZP564D172	519	NA	NA
ANK3	520	NA	NA
HHAT	521	NA	NA
ODF2	522	NA	NA
PDIR	523	NA	NA
IGBP1	524	NA	NA
CD63	525	NA	NA
SEC23IP	526	NA	NA
PSCA	527	NA	NA
YKT6	528	NA	NA
RAB20	529	NA	NA
CSRP1	530	NA	NA
GHR	531	221	152
MAPK10	532	NA	NA
UBE2A	533	NA	NA
ETNK2	534	NA	NA
HSPC051	535	NA	NA
GCNT1	536	NA	NA
HIVEP2	537	NA	NA
SLC25A17	538	NA	NA
MGLL	539	NA	NA
JARID1B	540	NA	NA
PHKA1	541	NA	NA
JAM2	542	NA	NA
GSR	543	NA	NA
RRP22	544	NA	NA
PPP2R3A	545	NA	NA
SELENBP1	546	NA	NA
LASP1	547	NA	NA
HOXC11	548	NA	NA
GLB1	549	NA	NA
HLXB9	550	NA	NA
UQCR	551	NA	NA
ALG6	552	NA	NA
SREBF2	553	NA	NA
MMP10	554	NA	NA
NEU3	555	NA	NA
DPAGT1	556	NA	NA
EDG2	557	NA	NA
ERO1L	558	NA	22
IL20RA	559	NA	NA
ATP6V0E	560	NA	NA
FLJ10986	561	NA	NA
IL1F7	562	NA	NA
CYFIP1	563	NA	NA
FGIF	564	NA	NA
GRB10	565	NA	NA
PLA2G2A	566	NA	NA
RUSC1	567	NA	NA
HMG2L1	568	NA	NA
RBM19	569	NA	NA
ARHGDIB	570	NA	NA
CRSP3	571	NA	NA
IF	572	NA	NA
SRD5A1	573	NA	106
GATA3	574	NA	41
KIF13B	575	NA	NA
CEACAM5	576	NA	NA
SEPP1	577	380	NA
FLJ10925	578	NA	NA
HSD3B1	579	NA	NA
LGALS7	580	NA	NA
MAB21L1	581	NA	NA
CYCS	582	NA	NA
ALDH7A1	583	NA	NA
PPP1R1A	584	NA	NA
TEGT	585	NA	NA
ZNF350	586	NA	NA
DAAM1	587	NA	NA
DSPG3	588	NA	NA
OSBPL10	589	NA	NA
ASPH	590	NA	NA
NSDHL	591	NA	NA
SLC38A6	592	NA	NA
CRIP2	593	NA	NA
ABCB9	594	NA	NA
PPP1R13B	595	NA	NA
MTX2	596	NA	NA
NVL	597	NA	NA
PIP5K1B	598	NA	NA
AK3	599	345	107
SMUG1	600	NA	NA
CRADD	601	NA	NA
ORMDL2	602	NA	NA
CORO2A	603	NA	NA
COX8A	604	NA	NA
LOH11CR2A	605	267	NA
FDFT1	606	123	276
XDH	607	NA	NA
SLK	608	NA	NA
PVALB	609	NA	NA
TCN1	610	NA	NA
MLF1IP	611	NA	NA
SDPR	612	NA	NA
SLC22A5	613	NA	NA
PLEKHF2	614	NA	NA
NDUFA2	615	NA	NA
PNPLA4	616	NA	NA
NDP52	617	NA	NA
FLJ20184	618	NA	NA
KCNK1	619	NA	NA
BAALC	620	NA	NA
